Action	Ação
Decoder error	Erro do decodificador
Direct (%d)	Direto (%d)
E	E
ERROR	ERRO
Exiting USB...	Saindo de USB...
Hold	Espera
ID: !%08lX	ID: !%08lX
ID: -	ID: -
Key refresh not implemented	Atualização de chave não implementada
Key verify: %s %s	Verificação de chave: %s %s
Key verify: confirm %s %s	Verificação de chave: confirme %s %s
Key verify: enter number for %s	Verificação de chave: insira o número para %s
Key verify: send %s %s	Verificação de chave: enviar %s %s
Later	Mais tarde
Level %d	Nível %d
Listening for SSTV signal...	Ouvindo sinal SSTV...
Low battery: %d%%	Bateria fraca: %d%%
MODE: %s	MODO: %s
MODE: Auto	MODO: Automático
Map - %.48s	Mapa - %.48s
Map - %s Missing	Mapa - %s Ausente
Map - No Map Data	Mapa - Sem dados de mapa
Map - No SD Card	Mapa - Sem cartão SD
Map - no gps data	Mapa - sem dados de GPS
Message	Mensagem
Mic TBD	Microfone a definir
Mic init failed	Falha na inicialização do microfone
Morse Input	Entrada Morse
MoveTo	Mover para
N	N
NODE INFO	INFORMAÇÕES DO NÓ
Name required	Nome obrigatório
Name too long	Nome muito longo
No KML routes	Nenhuma rota KML
No SD Card	Sem cartão SD
No routes folder	Nenhuma pasta de rotas
No tracks yet	Nenhuma faixa ainda
Only leader can manage	Somente o líder pode gerenciar
Only leader can pair	Somente o líder pode emparelhar
Paired successfully	Emparelhado com sucesso
Pairing failed	Falha no emparelhamento
Pairing init failed	Falha na inicialização do emparelhamento
Pairing not available	Emparelhamento não disponível
Pairing not ready	O emparelhamento não está pronto
Press Back to exit USB mode	Pressione Voltar para sair do modo USB
Press SPACE to resume	Pressione ESPAÇO para continuar
RallyTo	RallyTo
Route configured	Rota configurada
Route: %s	Rota: %s
SD Card Not Found\nPlease insert SD card	SD Cartão não encontrado\nInsira o cartão SD
SSTV RECEIVER	RECEPTOR SSTV
Save failed	Falha ao salvar
Scan +%u/%u	Digitalizar +%u/%u
Select level	Selecione o nível
Selected level: %d	Nível selecionado: %d
Shutting down to protect battery	Desligando para proteger a bateria
Status: CALIB	Status: CALIB
Step 1/2: Tap short dots	Etapa 1/2: Toque nos pontos curtos
Step 2/2: Tap long dashes	Etapa 2/2: Toque em traços longos
Switch to %s to chat	Mude para %s para conversar
Symbol: 	Símbolo:
Tap to input, idle 3s to send	Toque para inserir, inativo 3s para enviar
Team keys mismatch	Incompatibilidade de chaves de equipe
Team: 	Equipe:
Text: 	Texto:
Unread: %d	Não lido: %d
Unread: 0	Não lido: 0
W	W
0° Horizon	Horizonte 0°
PSK must be 32 hex or 16 chars	PSK deve ter 32 hexadecimais ou 16 caracteres
Restarting...	Reiniciando...
awaiting position	aguardando posição
compass wakes after GPS fix	bússola desperta após correção de GPS
searching satellites	pesquisando satélites
%s -	%s -
%s 0s	%s 0s
%s %us	%s %us
%s %um	%s %um
%s %uh	%s %uh
%s %ud	%s %ud
AUTO	AUTOMÁTICO
Alt: %ld m	Alt: %ldm
Alt: -	Alt: -
BEST	MELHOR
BW: %.0fk	BW: %.0fk
BW: %.1fk	BW: %.1fk
BW: -	BW: -
CAD	CAD
CURSOR	CURSOR
Ch: %.3f	Canal: %.3f
Ch: -	Ch: -
Hop: %u	Salto: %u
Hop: -	Pulo: -
Hop: - / NH: %02X	Pulo: - / NH: %02X
ID: !%06lx	ID: !%06lx
ID: !%08lx	ID: !%08lx
Last heard:	Ouvido pela última vez:
Link	Link
Link / MeshCore	Link / MeshCore
Link / Meshtastic	Link / Meshtastic
MODE: RSSI	MODO: RSSI
NOISE %.0f dBm	RUÍDO %.0f dBm
NOISE -104 dBm	RUÍDO -104 dBm
PKI: -	PKI: -
PKI: known	PKI: conhecido
PKI: verified	PKI: verificado
RSSI %.0f dBm	RSSI %.0f dBm
RSSI -92 dBm	RSSI -92 dBm
RSSI: %.0f dBm	RSSI: %.0f dBm
RSSI: -	RSSI: -
Role: %s	Função: %s
SCAN	VERIFICAR
SF: %u	SF: %u
SF: -	SF: -
SIM	SIM
SNR +%d	SNR +%d
SNR +12	SNR +12
SNR: %.1f dB	SNR: %.1f dB
SNR: -	SNR: -
SNR %.0f	SNR %.0f
SNR -	SNR -
SNR Good	SNR Bom
SNR Weak	SNR Fraco
STEP %.0fk | BW %.0fk	ETAPA %.0fk | BW %.0fk
STEP %.1fk | BW %.1fk	ETAPA %.1fk | BW %.1fk
STEP -- | BW --	ETAPA -- | BW --
STOP	PARAR
Slot	Slot
Slot %u	Slot %u
SUB-GHz SCAN	VARREDURA SUB-GHz
Actions	Ações
Actions: %s	Ações: %s
Access to team data revoked	Acesso aos dados da equipe revogado
Capability:	Capacidade:
Channel Actions	Ações do canal
Confirm Kick	Confirmar chute
Create Team	Criar equipe
ELEV	ELEV
Join Team	Junte-se à equipe
In View	Na visualização
Keep devices within 5m	Mantenha os dispositivos dentro de 5m
KeyDist	KeyDist
KeyId: %u	KeyId: %u
KeyId: --	KeyId: --
Keys	Chaves
Kick	Chute
Kick Member	Expulsar Membro
Last paired: %s	Último pareamento: %s
Last seen %uh ago	Visto pela última vez há %uh
Last seen %um ago	Visto pela última vez há %um
Last seen --	Visto pela última vez --
Last update %us ago	Última atualização há %us
Last update --	Última atualização --
Last update 0s ago	Última atualização há 0s
Leader	Líder
Leader online	Líder on-line
Leave	Sair
Leave team?	Sair da equipe?
Manage	Gerenciar
Member: %s	Membro: %s
Members	Membros
Members: %u	Membros: %u
Members: %u  Online: %u	Membros: %u On-line: %u
Modem Bridge	Ponte de modem
No members yet	Ainda não há membros
Not Used	Não usado
Offline	Off-line
Online	On-line
Online: %u	On-line: %u
Pair Again	Emparelhar novamente
Pair Member	Membro do Par
Pairing in progress	Emparelhamento em andamento
Prev	Anterior
Remove %s from team?	Remover %s da equipe?
Request Keys	Chaves de solicitação
Retry	Tentar novamente
Security Round: %u	Rodada de Segurança: %u
Security Round: --	Rodada de Segurança: --
Security: OK (Round %u)	Segurança: OK (Rodada %u)
Security: OK (Round --)	Segurança: OK (Rodada --)
Seen %ud	Visto %ud
Seen %uh	Visto %uh
Seen %um	Visto %um
Send failed (keys not ready)	Falha no envio (chaves não prontas)
Status: %s	Status: %s
Target: %s	Alvo: %s
Team / %s	Equipe / %s
Team Actions	Ações da equipe
Team Health	Saúde da Equipe
Team Status	Status da equipe
Team: %s	Equipe: %s
This clears local keys.	Isso limpa as chaves locais.
This will update the security round.\nThe member will no longer receive\nteam messages or waypoints.	Isso atualizará a rodada de segurança.\nO membro não receberá mais\nmensagens da equipe ou pontos de referência.
Transfer	Transferência
Transfer Leader	Líder de transferência
View Team	Ver Equipe
Waiting for new keys...	Aguardando novas chaves...
Waypoint	Ponto de referência
You are no longer in this team	Você não está mais nesta equipe
You are not in a team	Você não está em uma equipe
- No shared map\n- No team awareness	- Nenhum mapa compartilhado\n- Sem conhecimento da equipe
1 member stale	1 estado membro
encrypt failed	falha na criptografia
member	membro
queue full	fila cheia
unsupported protocol	protocolo não suportado
Factory Reset	Redefinição de fábrica
Clear all settings and restart?	Limpar todas as configurações e reiniciar?
Terrain	Terreno
Satellite	Satélite
Contour: ON	Contorno: LIGADO
Contour data missing	Dados de contorno ausentes
%d enabled	%d ativado
%s  %s	%s %s
Channel Key / PSK	Chave do canal / PSK
Channel Slot	Slot de canal
Channel Utilization	Utilização do canal
Check for Updates	Verificar atualizações
Clear Message DB	Limpar banco de dados de mensagens
Connect	Conectar
Contour Overlay	Sobreposição de contorno
Coordinate Format	Formato de coordenadas
Coordinate System	Sistema de Coordenadas
Current Version	Versão Atual
Detected Network	Rede detectada
Disconnect	Desconectar
Duty Cycle Limit	Limite do Ciclo de Trabalho
Enabled IMEs	Ativado IMEs
Encryption Mode	Modo de criptografia
Freq Offset (MHz)	Compensação de frequência (MHz)
GPS Enabled	GPS Ativado
Hop Limit	Limite de salto
IME setting update failed	IME falha na atualização da configuração
Install Update	Instalar atualização
Latest Version	Versão mais recente
Layer	Camada
Location Mode	Modo de localização
MC Airtime Factor	Fator de tempo de transmissão do MC
MC Bandwidth (kHz)	Largura de banda MC (kHz)
MC Channel Key	Chave do canal MC
MC Channel Name	Nome do canal MC
MC Channel Slot	Slot de canal MC
MC Coding Rate	Taxa de codificação MC
MC Flood Max	MC Inundação Máx.
MC Frequency (MHz)	Frequência MC (MHz)
MC Multi ACKs	MC Multi ACKs
MC RX Delay Base	MC RX Base de atraso
MC Region Preset	Predefinição de região MC
MC Repeat	MC Repetir
MC Spread Factor	Fator de propagação MC
MC TX Power	MC TX Poder
Manual BW	Manual BW
Manual CR	Manual CR
Manual SF	Manual SF
Map Source	Fonte do mapa
Modem Preset	Predefinição do modem
NMEA Export	NMEA Exportar
NMEA Sentences	NMEA Frases
No IME packs installed	Nenhum pacote IME instalado
No position available	Nenhuma vaga disponível
OTA Status	OTA Status
Override Duty Cycle	Ciclo de trabalho de substituição
Override Freq (MHz)	Frequência de substituição (MHz)
Password	Senha
Position Strategy	Estratégia de Posição
SSID	SSID
Satellite Systems	Sistema Satélitems
Scan Networks	Digitalizar redes
TX Enabled	TX Ativado
TX Power	TX Potência
Track Format	Formato da trilha
Track Interval	Intervalo de rastreamento
Track Recording	Gravação de trilha
Unavailable	Indisponível
Update Interval	Intervalo de atualização
Use Preset	Usar predefinição
Wi-Fi Enabled	Wi-Fi Ativado
Wi-Fi start failed	Wi-Fi falha na inicialização
All	Todos
Contact Alerts	Alertas de contactos
Contacts Only	Só contactos
Message Alerts	Alertas de mensagens
Backup Status	Estado da cópia
Backup Settings	Guardar definições
Restore Settings	Restaurar definições
No backup found	Nenhuma cópia encontrada
Backup unsupported	Cópia não suportada
SD not detected	Cartão SD não detetado
Backup found	Cópia encontrada
Insert SD card to backup settings	Insira um cartão SD para guardar definições
Backup failed	Falha ao guardar cópia
Settings backup saved to SD	Cópia das definições guardada no SD
Insert SD card to restore settings	Insira um cartão SD para restaurar definições
No settings backup found	Nenhuma cópia de definições encontrada
Restore failed	Falha ao restaurar
Settings restored. Restarting...	Definições restauradas. A reiniciar...
Overwrite current settings and restart?	Substituir as definições atuais e reiniciar?
Restore	Restaurar
