Action	액션
team member position will appear here	팀원 위치가 여기에 표시됩니다.
Team keys not ready	팀 키가 준비되지 않았습니다.
Team location encode failed	팀 위치 인코딩 실패
Text chat unavailable	문자 채팅을 사용할 수 없습니다.
threads active	스레드 활성
Time Zone	시간대
Tracker	추적기
traffic active	트래픽 활성화
Trust Key	신뢰 키
U	유
Unignore	무시하지 않음
Unread	읽지 않음
Unknown	알 수 없음
USB Mass Storage	USB 대용량 저장소
USB Disk	USB 디스크
USB Bridge	USB 브리지
USB host bridge	USB 호스트 브리지
USB Bridge is unavailable on this target.	USB 이 대상에서는 브리지를 사용할 수 없습니다.
USB CDC KISS modem for Reticulum	USB Reticulum용 CDC KISS 모뎀
USE	사용
Used	중고
User Name	사용자 이름
Verification Number	인증번호
Verification number sent	인증번호 전송됨
Vibration	진동
VOL %d	VOL %d
VOL 80	80권
waiting for better sky view  |  %u in view	더 나은 하늘 전망을 기다리고 있습니다 |  %u 보기 중
waiting for module GNSS compass	모듈 GNSS 나침반을 기다리는 중
waiting for traffic	트래픽 대기 중
Waiting for host...	호스트를 기다리는 중...
Waiting for Reticulum host...	Reticulum 호스트를 기다리는 중...
WAIT IMU	잠깐만요 IMU
Walkie not available	워키를 사용할 수 없습니다.
Walkie start failed	워키 시작 실패
Walkie Talkie	워키토키
YES	예
6 digits	6자리
%u threads active	%u 스레드 활성
%ud	%ud
%uh	%uh
%um	%um
%umo	%u월
%uy	%uy
Confirm received code:\n	수신된 코드 확인:\n
device heading from 9-axis module	9축 모듈에서 향하는 장치
heading unlocks after first fix	첫 번째 수정 후 제목 잠금 해제
If it matches, trust the key.	일치하면 키를 신뢰하십시오.
magnetometer heading active	자력계 방향 활성
magnetometer still warming up	자력계가 아직 예열 중입니다.
needle shows north until target lock	바늘은 타겟 락까지 북쪽을 보여줍니다.
nearest peer  |  %.0f m away	가장 가까운 피어 |  %.0fm 거리
no recent traffic	최근 트래픽 없음
now	지금
%s layer missing	%s 레이어 누락
Active: %s	활성: %s
Alt: %.0f m	대체: %.0fm
Alt: -- m	Alt: -- m
Base: %s	기본: %s
Battery critical	배터리 부족
Broadcast (%d)	방송(%d)
COMPLETE	완료
Calibrating...	교정 중...
Confirm	확인
Contour: OFF	윤곽선: 꺼짐
Decoder error	디코더 오류
Direct (%d)	직접(%d)
E	E
ERROR	오류
Exiting USB...	USB 종료 중...
Hold	보류
ID: !%08lX	ID: !%08lX
ID: -	ID: -
Key refresh not implemented	키 새로 고침이 구현되지 않았습니다.
Key verify: %s %s	키 확인: %s %s
Key verify: confirm %s %s	키 확인: %s %s 확인
Key verify: enter number for %s	키 확인: %s에 대한 번호를 입력하세요.
Key verify: send %s %s	키 확인: %s %s 전송
Later	나중에
Level %d	레벨 %d
Listening for SSTV signal...	SSTV 신호를 듣는 중...
Low battery: %d%%	배터리 부족: %d%%
MODE: %s	모드: %s
MODE: Auto	모드: 자동
Map - %.48s	지도 - %.48s
Map - %s Missing	지도 - %s 누락
Map - No Map Data	지도 - 지도 데이터 없음
Map - No SD Card	지도 - SD 카드 없음
Map - no gps data	지도 - GPS 데이터 없음
Message	메시지
Mic TBD	마이크 미정
Mic init failed	마이크 초기화 실패
Morse Input	모스 입력
MoveTo	이동 위치
N	아니요
NODE INFO	노드 정보
Name required	이름이 필요합니다.
Name too long	이름이 너무 깁니다.
No KML routes	KML 경로 없음
No SD Card	SD 카드 없음
No routes folder	경로 폴더 없음
No tracks yet	아직 트랙이 없습니다.
Only leader can manage	리더만이 관리할 수 있습니다.
Only leader can pair	리더만 페어링할 수 있습니다.
Paired successfully	성공적으로 페어링되었습니다.
Pairing failed	페어링 실패
Pairing init failed	페어링 초기화 실패
Pairing not available	페어링 불가
Pairing not ready	페어링이 준비되지 않음
Press Back to exit USB mode	USB 모드를 종료하려면 뒤로를 누르세요.
Press SPACE to resume	다시 시작하려면 SPACE를 누르세요.
RallyTo	RallyTo
Route configured	경로 구성됨
Route: %s	경로: %s
SD Card Not Found\nPlease insert SD card	SD 카드를 찾을 수 없음\nSD 카드를 삽입하세요.
SSTV RECEIVER	SSTV 수신기
Save failed	저장 실패
Scan +%u/%u	스캔 +%u/%u
Select level	레벨 선택
Selected level: %d	선택한 레벨: %d
Shutting down to protect battery	배터리 보호를 위해 종료 중
Status: CALIB	상태: 교정
Step 1/2: Tap short dots	1/2단계: 짧은 점 탭하기
Step 2/2: Tap long dashes	2/2단계: 긴 대시를 탭하세요.
Switch to %s to chat	채팅하려면 %s로 전환하세요.
Symbol: 	기호:
Tap to input, idle 3s to send	입력하려면 탭하고, 전송하려면 3초 동안 기다리세요.
Team keys mismatch	팀 키 불일치
Team: 	팀:
Text: 	텍스트:
Unread: %d	읽지 않음: %d
Unread: 0	읽지 않음: 0
W	여
0° Horizon	0° 수평
PSK must be 32 hex or 16 chars	PSK은 32진수 또는 16자여야 합니다.
Restarting...	다시 시작하는 중...
awaiting position	대기 위치
compass wakes after GPS fix	GPS 수정 후 나침반이 깨어납니다.
searching satellites	위성 검색 중
%s -	%s -
%s 0s	%s 0초
%s %us	%s %us
%s %um	%s %um
%s %uh	%s %uh
%s %ud	%s %ud
AUTO	자동
Alt: %ld m	대체: %ldm
Alt: -	대체: -
BEST	최고
BW: %.0fk	BW: %.0fk
BW: %.1fk	BW: %.1fk
BW: -	BW: -
CAD	CAD
CURSOR	커서
Ch: %.3f	채널: %.3f
Ch: -	채널: -
Hop: %u	홉: %u
Hop: -	홉: -
Hop: - / NH: %02X	홉: - / NH: %02X
ID: !%06lx	ID: !%06lx
ID: !%08lx	ID: !%08lx
Last heard:	마지막 청취:
Link	링크
Link / MeshCore	링크 / MeshCore
Link / Meshtastic	링크 / Meshtastic
MODE: RSSI	모드: RSSI
NOISE %.0f dBm	소음 %.0f dBm
NOISE -104 dBm	소음 -104 dBm
PKI: -	PKI:-
PKI: known	PKI: 알려져 있음
PKI: verified	PKI: 확인됨
RSSI %.0f dBm	RSSI %.0f dBm
RSSI -92 dBm	RSSI -92 dBm
RSSI: %.0f dBm	RSSI:%.0f dBm
RSSI: -	RSSI:-
Role: %s	역할: %s
SCAN	스캔
SF: %u	扩频因子:%u
SF: -	扩频因子:-
SIM	SIM
SNR +%d	SNR +%d
SNR +12	SNR +12
SNR: %.1f dB	SNR: %.1fdB
SNR: -	SNR:-
SNR %.0f	信噪比 %.0f
SNR -	SNR -
SNR Good	SNR 좋음
SNR Weak	SNR 약함
STEP %.0fk | BW %.0fk	단계 %.0fk | BW %.0fk
STEP %.1fk | BW %.1fk	단계 %.1fk | BW %.1fk
STEP -- | BW --	단계 -- | BW --
STOP	중지
Slot	슬롯
Slot %u	슬롯 %u
SUB-GHz SCAN	SUB-GHz 스캔
Actions	조치
Actions: %s	작업: %s
Access to team data revoked	팀 데이터에 대한 액세스가 취소되었습니다.
Capability:	기능:
Channel Actions	채널 작업
Confirm Kick	킥 확인
Create Team	팀 만들기
ELEV	ELEV
Join Team	팀에 합류
In View	보기 중
Keep devices within 5m	장치를 5m 이내에 유지하십시오.
KeyDist	KeyDist
KeyId: %u	키 ID: %u
KeyId: --	키 ID: --
Keys	키
Kick	킥
Kick Member	멤버 추방
Last paired: %s	마지막 페어링: %s
Last seen %uh ago	%u시간 전에 마지막으로 확인됨
Last seen %um ago	마지막으로 확인된 날짜: %u분 전
Last seen --	마지막 확인 --
Last update %us ago	마지막 업데이트 %u초 전
Last update --	마지막 업데이트 --
Last update 0s ago	마지막 업데이트 0초 전
Leader	리더
Leader online	온라인 리더
Leave	나가기
Leave team?	팀을 탈퇴하시겠습니까?
Manage	관리
Member: %s	회원: %s
Members	회원
Members: %u	회원: %u
Members: %u  Online: %u	회원: %u 온라인: %u
Modem Bridge	모뎀 브리지
No members yet	아직 회원이 없습니다.
Not Used	사용되지 않음
Offline	오프라인
Online	온라인
Online: %u	온라인: %u
Pair Again	다시 페어링
Pair Member	페어 멤버
Pairing in progress	페어링 진행 중
Prev	이전
Remove %s from team?	팀에서 %s을(를) 제거하시겠습니까?
Request Keys	키 요청
Retry	재시도
Security Round: %u	보안 라운드: %u
Security Round: --	보안 라운드: --
Security: OK (Round %u)	보안: OK(라운드 %u)
Security: OK (Round --)	보안: OK(라운드 --)
Seen %ud	%ud 확인됨
Seen %uh	%uh 확인됨
Seen %um	%um 확인됨
Send failed (keys not ready)	보내기 실패(키가 준비되지 않음)
Status: %s	상태: %s
Target: %s	대상: %s
Team / %s	팀 / %s
Team Actions	팀 조치
Team Health	팀 건강
Team Status	팀 현황
Team: %s	팀: %s
This clears local keys.	이는 로컬 키를 지웁니다.
This will update the security round.\nThe member will no longer receive\nteam messages or waypoints.	그러면 보안 라운드가 업데이트됩니다.\n구성원은 더 이상\n팀 메시지나 경유지를 받지 않습니다.
Transfer	전송
Transfer Leader	전송 리더
View Team	팀 보기
Waiting for new keys...	새 키를 기다리는 중...
Waypoint	웨이포인트
You are no longer in this team	귀하는 더 이상 이 팀에 속하지 않습니다.
You are not in a team	귀하는 팀에 속해 있지 않습니다.
- No shared map\n- No team awareness	- 공유 지도 없음\n- 팀 인식 없음
1 member stale	회원 1명 부실
encrypt failed	암호화 실패
member	회원
queue full	대기열이 꽉 찼습니다.
unsupported protocol	지원되지 않는 프로토콜
Factory Reset	공장 초기화
Clear all settings and restart?	모든 설정을 지우고 다시 시작하시겠습니까?
Terrain	지형
Satellite	위성
Contour: ON	윤곽: ON
Contour data missing	윤곽 데이터 누락
%d enabled	%d 활성화됨
%s  %s	%s %s
Channel Key / PSK	채널 키 / PSK
Channel Slot	채널 슬롯
Channel Utilization	채널 활용도
Check for Updates	업데이트 확인
Clear Message DB	메시지 DB 지우기
Connect	연결
Contour Overlay	윤곽 오버레이
Coordinate Format	좌표 형식
Coordinate System	좌표계
Current Version	현재 버전
Detected Network	감지된 네트워크
Disconnect	연결 끊기
Duty Cycle Limit	듀티 사이클 제한
Enabled IMEs	활성화됨 IMEs
Encryption Mode	암호화 모드
Freq Offset (MHz)	주파수 오프셋(MHz)
GPS Enabled	GPS 활성화됨
Hop Limit	홉 제한
IME setting update failed	IME 설정 업데이트 실패
Install Update	업데이트 설치
Latest Version	최신 버전
Layer	레이어
Location Mode	위치 모드
MC Airtime Factor	MC 방송시간 계수
MC Bandwidth (kHz)	MC 대역폭(kHz)
MC Channel Key	MC 채널 키
MC Channel Name	MC 채널 이름
MC Channel Slot	MC 채널 슬롯
MC Coding Rate	MC 코딩율
MC Flood Max	MC 플러드 맥스
MC Frequency (MHz)	MC 빈도(MHz)
MC Multi ACKs	MC 다중 ACK
MC RX Delay Base	MC RX 지연 베이스
MC Region Preset	MC 지역 프리셋
MC Repeat	MC 반복
MC Spread Factor	MC 확산 계수
MC TX Power	MC TX 전원
Manual BW	수동 BW
Manual CR	수동 CR
Manual SF	수동 SF
Map Source	맵 소스
Modem Preset	모뎀 사전 설정
NMEA Export	NMEA 내보내기
NMEA Sentences	NMEA 문장
No IME packs installed	IME 팩이 설치되지 않았습니다.
No position available	사용 가능한 직책이 없습니다.
OTA Status	OTA 상태
Override Duty Cycle	듀티 사이클 무시
Override Freq (MHz)	주파수 재정의(MHz)
Password	비밀번호
Position Strategy	포지션 전략
SSID	SSID
Satellite Systems	위성 시스템ms
Scan Networks	네트워크 스캔
TX Enabled	TX 활성화됨
TX Power	TX 전원
Track Format	트랙 형식
Track Interval	추적 간격
Track Recording	트랙 녹음
Unavailable	사용할 수 없음
Update Interval	업데이트 간격
Use Preset	프리셋 사용
Wi-Fi Enabled	Wi-Fi 활성화됨
Wi-Fi start failed	Wi-Fi 시작 실패
All	전체
Contact Alerts	연락처 알림
Contacts Only	연락처만
Message Alerts	메시지 알림
Backup Status	백업 상태
Backup Settings	설정 백업
Restore Settings	설정 복원
No backup found	백업을 찾을 수 없음
Backup unsupported	백업을 지원하지 않음
SD not detected	SD 카드가 감지되지 않음
Backup found	백업을 찾음
Insert SD card to backup settings	설정을 백업하려면 SD 카드를 넣으세요
Backup failed	백업 실패
Settings backup saved to SD	설정 백업이 SD에 저장됨
Insert SD card to restore settings	설정을 복원하려면 SD 카드를 넣으세요
No settings backup found	설정 백업을 찾을 수 없음
Restore failed	복원 실패
Settings restored. Restarting...	설정이 복원되었습니다. 다시 시작 중...
Overwrite current settings and restart?	현재 설정을 덮어쓰고 다시 시작할까요?
Restore	복원
