Action	操作
nearest peer  |  %.0f m away	最近队友  |  距离 %.0f 米
no recent traffic	暂无最近活动
now	刚刚
%s layer missing	%s 图层缺失
Active: %s	已激活:%s
Alt: %.0f m	高度:%.0f 米
Alt: -- m	高度:-- 米
Base: %s	底图:%s
Battery critical	电池电量危险
Broadcast (%d)	广播(%d)
COMPLETE	已完成
Calibrating...	校准中...
Confirm	确认
Contour: OFF	等高线:关
Decoder error	解码错误
Direct (%d)	私聊(%d)
E	东
ERROR	错误
Exiting USB...	正在退出 USB...
Hold	原地待命
ID: !%08lX	ID: !%08lX
ID: -	ID: -
Key refresh not implemented	暂未实现密钥刷新
Key verify: %s %s	密钥校验:%s %s
Key verify: confirm %s %s	密钥校验:请确认 %s %s
Key verify: enter number for %s	密钥校验:请为 %s 输入数字
Key verify: send %s %s	密钥校验:请发送 %s %s
Later	稍后
Level %d	级别 %d
Listening for SSTV signal...	正在监听 SSTV 信号...
Low battery: %d%%	电量低:%d%%
MODE: %s	模式:%s
MODE: Auto	模式:自动
Map - %.48s	地图 - %.48s
Map - %s Missing	地图 - %s 缺失
Map - No Map Data	地图 - 没有地图数据
Map - No SD Card	地图 - 没有 SD 卡
Map - no gps data	地图 - 没有 GPS 数据
Message	消息
Mic TBD	麦克风功能待定义
Mic init failed	麦克风初始化失败
Morse Input	摩斯电码输入
MoveTo	移动到
N	北
NODE INFO	节点信息
Name required	必须输入名称
Name too long	名称过长
No KML routes	没有 KML 路线
No SD Card	没有 SD 卡
No routes folder	没有 routes 文件夹
No tracks yet	暂无轨迹
Only leader can manage	只有队长可以管理
Only leader can pair	只有队长可以配对
Paired successfully	配对成功
Pairing failed	配对失败
Pairing init failed	配对初始化失败
Pairing not available	当前无法配对
Pairing not ready	配对尚未就绪
Press Back to exit USB mode	按返回键退出 USB 模式
Press SPACE to resume	按 SPACE 继续
Swipe up to resume	上滑以继续
RallyTo	集结到
Route configured	已配置路线
Route: %s	路线:%s
SD Card Not Found\nPlease insert SD card	未找到 SD 卡\n请插入 SD 卡
SSTV RECEIVER	SSTV 接收器
Save failed	保存失败
Scan +%u/%u	扫描新增:+%u/%u
Select level	选择级别
Selected level: %d	已选级别:%d
Shutting down to protect battery	正在关机以保护电池
Status: CALIB	状态:校准
Step 1/2: Tap short dots	第 1/2 步:点击短点
Step 2/2: Tap long dashes	第 2/2 步:点击长线
Switch to %s to chat	切换到 %s 以聊天
Symbol: 	符号:
Tap to input, idle 3s to send	点击输入,空闲 3 秒后发送
Team keys mismatch	团队密钥不匹配
Team: 	团队:
Text: 	文本:
Unread: %d	未读:%d
Unread: 0	未读:0
W	西
0° Horizon	0° 地平线
PSK must be 32 hex or 16 chars	PSK 必须是 32 位十六进制或 16 个字符
Restarting...	正在重启...
awaiting position	等待位置
compass wakes after GPS fix	GPS 定位后指南针将启用
searching satellites	正在搜索卫星
%s -	%s -
%s 0s	%s 0秒
%s %us	%s %u秒
%s %um	%s %u分
%s %uh	%s %u小时
%s %ud	%s %u天
AUTO	自动
Alt: %ld m	高度:%ld 米
Alt: -	高度:-
BEST	最佳
BW: %.0fk	带宽:%.0fk
BW: %.1fk	带宽:%.1fk
BW: -	带宽:-
CAD	CAD
CURSOR	游标
Ch: %.3f	信道:%.3f
Ch: -	信道:-
Hop: %u	跳数:%u
Hop: -	跳数:-
Hop: - / NH: %02X	跳数:- / 下一跳:%02X
ID: !%06lx	ID: !%06lx
ID: !%08lx	ID: !%08lx
Last heard:	最后收到:
Link	链路
Link / MeshCore	链路 / MeshCore
Link / Meshtastic	链路 / Meshtastic
MODE: RSSI	模式:RSSI
NOISE %.0f dBm	噪声 %.0f dBm
NOISE -104 dBm	噪声 -104 dBm
PKI: -	PKI:-
PKI: known	PKI:已知
PKI: verified	PKI:已验证
RSSI %.0f dBm	RSSI %.0f dBm
RSSI -92 dBm	RSSI -92 dBm
RSSI: %.0f dBm	RSSI:%.0f dBm
RSSI: -	RSSI:-
Role: %s	角色:%s
SCAN	扫描
SF: %u	扩频因子:%u
SF: -	扩频因子:-
SIM	模拟
SNR +%d	SNR +%d
SNR +12	SNR +12
SNR: %.1f dB	SNR:%.1f dB
SNR: -	SNR:-
SNR %.0f	信噪比 %.0f
SNR -	信噪比 -
SNR Good	信噪比良好
SNR Weak	信噪比较弱
STEP %.0fk | BW %.0fk	步进 %.0fk | 带宽 %.0fk
STEP %.1fk | BW %.1fk	步进 %.1fk | 带宽 %.1fk
STEP -- | BW --	步进 -- | 带宽 --
STOP	停止
Slot	槽位
Slot %u	槽位 %u
SUB-GHz SCAN	Sub-GHz 扫描
Actions	操作
Actions: %s	操作:%s
Access to team data revoked	队伍数据访问已撤销
Capability:	能力:
Channel Actions	频道操作
Confirm Kick	确认移除
Create Team	创建队伍
ELEV	仰角
Join Team	加入队伍
In View	可见
Keep devices within 5m	请将设备保持在 5 米内
KeyDist	密钥分发
KeyId: %u	密钥 ID:%u
KeyId: --	密钥 ID:--
Keys	密钥
Kick	移除
Kick Member	移除成员
Last paired: %s	最近配对:%s
Last seen %uh ago	上次在线 %u 小时前
Last seen %um ago	上次在线 %u 分钟前
Last seen --	上次在线:--
Last update %us ago	上次更新 %u 秒前
Last update --	上次更新:--
Last update 0s ago	上次更新 0 秒前
Leader	队长
Leader online	队长在线
Leave	离开
Leave team?	离开队伍?
Manage	管理
Member: %s	成员:%s
Members	成员
Members: %u	成员数:%u
Members: %u  Online: %u	成员:%u  在线:%u
Modem Bridge	调制解调器桥接
No members yet	暂无成员
Not Used	未使用
Offline	离线
Online	在线
Online: %u	在线:%u
Pair Again	再次配对
Pair Member	配对成员
Pairing in progress	正在配对
Prev	上一页
Remove %s from team?	将 %s 移出队伍?
Request Keys	请求密钥
Retry	重试
Security Round: %u	安全轮次:%u
Security Round: --	安全轮次:--
Security: OK (Round %u)	安全状态:正常(轮次 %u)
Security: OK (Round --)	安全状态:正常(轮次 --)
Seen %ud	%u 天前
Seen %uh	%u 小时前
Seen %um	%u 分钟前
Send failed (keys not ready)	发送失败(密钥未就绪)
Status: %s	状态:%s
Target: %s	目标:%s
Team / %s	队伍 / %s
Team Actions	队伍操作
Team Health	队伍状态
Team Status	队伍状态
Team: %s	队伍:%s
This clears local keys.	这将清除本地密钥。
This will update the security round.\nThe member will no longer receive\nteam messages or waypoints.	这将更新安全轮次。\n该成员将不再接收\n队伍消息或航点。
Transfer	移交
Transfer Leader	移交队长
View Team	查看队伍
Waiting for new keys...	正在等待新密钥...
Waypoint	航点
You are no longer in this team	你已不在此队伍中
You are not in a team	你当前未加入队伍
- No shared map\n- No team awareness	- 无共享地图\n- 无队伍态势
1 member stale	1 名成员状态过期
encrypt failed	加密失败
member	成员
queue full	队列已满
unsupported protocol	协议不支持
Factory Reset	恢复出厂设置
Clear all settings and restart?	清空全部设置并重启?
Terrain	地形图
Satellite	卫星图
Contour: ON	等高线:开
Contour data missing	缺少等高线数据
%d enabled	已启用 %d 个
%s  %s	%s  %s
Channel Key / PSK	频道金钥 / PSK
Channel Slot	频道槽
Channel Utilization	频道使用率
Check for Updates	检查更新
Clear Message DB	清除讯息资料库
Connect	连线
Contour Overlay	等高线叠加
Coordinate Format	座标格式
Coordinate System	座标系统
Current Version	目前版本
Detected Network	侦测到的网路
Disconnect	中断连线
Duty Cycle Limit	占空比限制
Enabled IMEs	已启用的输入法
Encryption Mode	加密模式
Freq Offset (MHz)	频率偏移 (MHz)
GPS Enabled	启用 GPS
Hop Limit	跳数限制
IME setting update failed	输入法设定更新失败
Install Update	安装更新
Latest Version	最新版本
Layer	图层
Location Mode	定位模式
MC Airtime Factor	MC 空中时间系数
MC Bandwidth (kHz)	MC 频宽 (kHz)
MC Channel Key	MC 频道金钥
MC Channel Name	MC 频道名称
MC Channel Slot	MC 频道槽
MC Coding Rate	MC 编码率
MC Flood Max	MC 最大泛洪数
MC Frequency (MHz)	MC 频率 (MHz)
MC Multi ACKs	MC 多重 ACK
MC RX Delay Base	MC 接收延迟基准
MC Region Preset	MC 区域预设
MC Repeat	MC 中继
MC Spread Factor	MC 展频因子
MC TX Power	MC 发射功率
Manual BW	手动频宽
Manual CR	手动编码率
Manual SF	手动展频因子
Map Source	地图来源
Modem Preset	数据机预设
NMEA Export	NMEA 汇出
NMEA Sentences	NMEA 语句
No IME packs installed	尚未安装输入法套件
No position available	无可用位置
OTA Status	OTA 状态
Override Duty Cycle	覆写占空比
Override Freq (MHz)	覆写频率 (MHz)
Password	密码
Position Strategy	定位策略
SSID	SSID
Satellite Systems	卫星系统
Scan Networks	扫描网路
TX Enabled	启用发射
TX Power	发射功率
Track Format	轨迹格式
Track Interval	轨迹间隔
Track Recording	轨迹记录
Unavailable	无法使用
Update Interval	更新间隔
Use Preset	使用预设
Wi-Fi Enabled	启用 Wi-Fi
Wi-Fi start failed	Wi-Fi 启动失败
All	全部
Contact Alerts	联系人提示
Contacts Only	仅联系人
Message Alerts	消息提示
Backup Status	备份状态
Backup Settings	备份设置
Restore Settings	还原设置
No backup found	未找到备份
Backup unsupported	不支持备份
SD not detected	未检测到 SD 卡
Backup found	已找到备份
Insert SD card to backup settings	插入 SD 卡后再备份设置
Backup failed	备份失败
Settings backup saved to SD	设置备份已保存到 SD 卡
Insert SD card to restore settings	插入 SD 卡后再还原设置
No settings backup found	未找到设置备份
Restore failed	还原失败
Settings restored. Restarting...	设置已还原，正在重启...
Overwrite current settings and restart?	覆盖当前设置并重启?
Restore	还原
Date/Time	日期/时间
Set Date/Time	设置日期/时间
Date	日期
Time	时间
Invalid date/time	日期/时间无效
Set time unsupported	不支持设置时间
Date/time updated	日期/时间已更新
Seen %um ago	%u 分钟前出现
Seen %uh ago	%u 小时前出现
Seen %ud ago	%u 天前出现
Seen --	未见
Shutdown	关机
Power Off	关机
Powering off...	正在关机...
Power off failed	关机失败
Power off device now?	现在关闭设备电源?
USB power keeps the device awake.	USB 供电会让设备保持唤醒.
Unplug USB to power off	拔掉 USB 后才能关机
Power chip unavailable	电源芯片不可用
%u days ago	%u 天前
%u hours ago	%u 小时前
%u mins ago	%u 分钟前
1 day ago	1 天前
1 hour ago	1 小时前
1 min ago	1 分钟前
Add Reticulum Group	添加 Reticulum 群组
Applying defaults	正在应用默认设置
Applying setting	正在应用设置
Backing up settings...	正在备份设置...
Backup complete	备份完成
C6 Companion	C6 协处理器
Calling %s	正在呼叫 %s
Channel PSK generated	频道 PSK 已生成
Channel cleared	频道已清除
Channel key generated	频道密钥已生成
Check SD card	请检查 SD 卡
Clearing messages...	正在清除消息...
Clearing node database	正在清除节点数据库
Clearing stored settings	正在清除已存储设置
Configure Wi-Fi in Settings first	请先在设置中配置 Wi-Fi
Connect Wi-Fi to browse uninstalled packages	连接 Wi-Fi 以浏览未安装的扩展包
Connecting Wi-Fi...	正在连接 Wi-Fi...
Conversation	会话
Delete this chat?	删除此聊天？
Destination hash	目标哈希
Disconnecting Wi-Fi...	正在断开 Wi-Fi...
ERR	错误
Enter	确定
FSK	FSK 调制
GPS Diagnostics	GPS 诊断
Group Actions	群组操作
Group destination	群组目标
Install package failed	扩展包安装失败
Installed locally	已在本地安装
Installed package	已安装的扩展包
Invalid MQTT port	MQTT 端口无效
Invalid gateway port	网关端口无效
Key generation failed	密钥生成失败
Key missing	缺少密钥
Looking for nearby networks	正在查找附近的网络
Monitor Off	监听关闭
Name	名称
No installed packages	没有已安装的扩展包
No matches	没有匹配项
No uninstalled packages	没有未安装的扩展包
Node info: %s	节点信息：%s
PSK generation failed	PSK 生成失败
PSK must be 32/64 hex or 16/32 chars	PSK 必须是 32/64 位十六进制或 16/32 个字符
Preparing companion...	正在准备协处理器...
Preview Help	预览帮助
Preview failed	预览失败
Primary Group	主要群组
Public	公开
Reading backup from SD	正在从 SD 卡读取备份
Refresh	刷新
Remote catalog is unavailable. Connect Wi-Fi to view package details and updates.	远程目录不可用。请连接 Wi-Fi 以查看扩展包详情和更新。
Requesting download mode	正在请求下载模式
Resetting mesh...	正在重置网状网络...
Resetting nodes...	正在重置节点...
Restoring settings...	正在恢复设置...
Reticulum Peer	Reticulum 对等节点
Route Preview	路线预览
Scanning Wi-Fi...	正在扫描 Wi-Fi...
Settings restored	设置已恢复
Settings saved to SD	设置已保存到 SD 卡
Start failed	启动失败
Unable to apply GPS setting	无法应用 GPS 设置
Updating chat storage	正在更新聊天存储
Updating network list	正在更新网络列表
Wi-Fi connect failed	Wi-Fi 连接失败
Wi-Fi connected	Wi-Fi 已连接
Wi-Fi unsupported	不支持 Wi-Fi
Wi-Fi unsupported on this device	此设备不支持 Wi-Fi
Writing to SD card	正在写入 SD 卡
Protocol Probe	协议包探测
Release	松开
Voice	语音
Voice message	语音消息
Voice message (Sending...)	语音消息（发送中…）
Voice message (Failed)	语音消息（发送失败）
Verify contact for private voice	验证联系人后才能发送私密语音
Voice busy; wait	语音忙，请稍候
Voice memory busy; retry	语音内存忙，请重试
Voice storage loading; try again	正在加载语音存储，请重试
VMP private	VMP 私密
VMP broadcast	VMP 广播
VMP broadcast (unverified)	VMP 广播（未验证）
Playing voice...	正在播放语音…
Voice message - Enter plays	语音消息 - 按 Enter 播放
playing	播放中
Enter plays	按 Enter 播放
Voice audio is busy	语音音频忙，请稍候
Tracks	轨迹
Routes	路线
Start recording	开始记录
Stop recording	停止记录
Not recording	未在记录
Add KML files to the routes folder	将 KML 文件放入路线文件夹

# Agenda / Calendar
1 day before	提前 1 天
1 hour before	提前 1 小时
10 min before	提前 10 分钟
30 min before	提前 30 分钟
Agenda	日程
Agenda storage unavailable	日程存储不可用
Another reminder is already snoozed	已有其他提醒处于稍后提醒状态
At time	准时
Changes apply to the entire series	更改将应用于整个重复系列
Choose on map	在地图上选择
Could not read events	无法读取日程
Could not save changes	无法保存更改
Could not update reminder	无法更新提醒
Current position	当前位置
Current position unavailable	无法获取当前位置
Daily	每天
Date or time is out of range	日期或时间超出范围
Delete this event?	删除此日程？
Discard	放弃
Discard changes?	放弃更改？
Done	完成
Edit Event	编辑日程
End <= start: next day	结束不晚于开始：次日
End time (optional)	结束时间（可选）
Enter a title and valid date/time	请输入标题及有效日期和时间
Event Detail	日程详情
Event is unavailable	日程不可用
Event Reminder	日程提醒
Fri	周五
Invalid location	位置无效
Keep editing	继续编辑
Location is optional	位置为可选项
Map is unavailable on this target.	此设备不支持地图。
Mon	周一
Monthly	每月
More	更多
Navigate	导航
New Event	新建日程
No upcoming events	暂无后续日程
Note	备注
Pick Date	选择日期
Pick Time	选择时间
Reminder	提醒
Remove location	移除位置
Repeat	重复
Sat	周六
Saving...	正在保存…
Set the device time first	请先设置设备时间
Snooze 10 min	10 分钟后提醒
Start time	开始时间
Sun	周日
Text exceeds the UTF-8 byte limit	文字超出 UTF-8 字节限制
Thu	周四
Title	标题
Today	今天
Tomorrow	明天
Tue	周二
Wed	周三
Weekly	每周
Yearly	每年
Calendar	日历
Pick	选定
Could not read waypoints	无法读取航点
First	首页
No saved waypoints	没有已保存的航点
Saved waypoint	已保存航点
Waypoint unavailable	航点不可用
